park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord,instanceType,instanceTypeLabel,visitors,year_x,followers,year_y
http://www.wikidata.org/entity/Q211816,Pioneer Peaks National Park,Австралия,Австралия и Океания,18.8011291503906,2004.0,142.0,Point(148.923888888 -20.983888888),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q211816,Pioneer Peaks National Park,Австралия,Австралия и Океания,189.0,2004.0,142.0,Point(148.923888888 -20.983888888),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q211819,Reliance Creek National Park,Австралия,Австралия и Океания,0.286943168640137,1980.0,23.0,Point(149.099722222 -21.047777777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q211819,Reliance Creek National Park,Австралия,Австралия и Океания,0.286943168640137,2007.0,23.0,Point(149.099722222 -21.047777777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,7.57736633300781,1989.0,291.0,Point(150.039444444 -22.750277777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,7.57736633300781,1994.0,291.0,Point(150.039444444 -22.750277777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,757.0,1989.0,291.0,Point(150.039444444 -22.750277777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,757.0,1994.0,291.0,Point(150.039444444 -22.750277777),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,227.0,1929.0,329.0,Point(152.854166666 -26.32),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,227.0,2002.0,329.0,Point(152.854166666 -26.32),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,0.227454299926758,1929.0,329.0,Point(152.854166666 -26.32),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
