parkLabel,countryLabel,areaKm2,inception,unescoStatusLabel
Cotubanamá National Park,Доминиканская Республика,,,Объект из предварительного списка Всемирного наследия
Кейп-Рейндж,Австралия,,1965-01-01T00:00:00Z,
Кейп-Рейндж,Австралия,,1972-01-01T00:00:00Z,
Янгуди (национальный парк),Эфиопия,,1999-01-01T00:00:00Z,
Северный Велебит,Хорватия,,1981-01-01T00:00:00Z,site of community importance
Северный Велебит,Хорватия,,1981-01-01T00:00:00Z,site of community importance
Северный Велебит,Хорватия,,1999-06-17T00:00:00Z,site of community importance
Северный Велебит,Хорватия,,1999-06-17T00:00:00Z,site of community importance
Toro Toro National Park,Боливия,,1989-07-26T00:00:00Z,
Wild Cattle Island National Park,Австралия,,1992-01-01T00:00:00Z,
Wild Cattle Island National Park,Австралия,,1992-01-01T00:00:00Z,
Wild Cattle Island National Park,Австралия,,1994-01-01T00:00:00Z,
Wild Cattle Island National Park,Австралия,,1994-01-01T00:00:00Z,
Гёйгёль,Азербайджан,,2008-01-01T00:00:00Z,
Гонарежу,Зимбабве,,1975-01-01T00:00:00Z,
Туктут-Ногаит,Канада,,1998-01-01T00:00:00Z,
Garig Gunak Barlu National Park,Австралия,,1981-01-01T00:00:00Z,
Garig Gunak Barlu National Park,Австралия,,1981-01-01T00:00:00Z,
Garig Gunak Barlu National Park,Австралия,,2000-01-01T00:00:00Z,
Garig Gunak Barlu National Park,Австралия,,2000-01-01T00:00:00Z,
Тортугеро,Коста-Рика,,1975-01-01T00:00:00Z,
Гейтс-оф-те-Арктик,США,,1980-01-01T00:00:00Z,
Долина Цветов,Индия,,,всемирное наследие
Villarrica National Park,Чили,,1940-11-28T00:00:00Z,
Villarrica National Park,Чили,,1940-11-28T00:00:00Z,
Лейк-Маньяра,Танзания,,1960-01-01T00:00:00Z,
Полонины,Словакия,,1997-10-01T00:00:00Z,
Полонины,Словакия,,1997-10-01T00:00:00Z,
Полонины,Словакия,,1997-10-01T00:00:00Z,
Yarriabini National Park,Австралия,,2003-01-01T00:00:00Z,
Yarriabini National Park,Австралия,,2003-01-01T00:00:00Z,
Yarriabini National Park,Австралия,,2010-01-01T00:00:00Z,
Yarriabini National Park,Австралия,,2010-01-01T00:00:00Z,
Катмай,США,,1980-01-01T00:00:00Z,
Чако,Аргентина,,1954-10-22T00:00:00Z,
Тайяталь,Австрия,,1999-01-01T00:00:00Z,
Тайяталь,Австрия,,1999-01-01T00:00:00Z,
Тайяталь,Австрия,,2000-01-01T00:00:00Z,
Тайяталь,Австрия,,2000-01-01T00:00:00Z,
Банде-Амир,Афганистан,,2009-01-01T00:00:00Z,Объект из предварительного списка Всемирного наследия
Walyunga National Park,Австралия,,1970-01-01T00:00:00Z,
Walyunga National Park,Австралия,,1970-01-01T00:00:00Z,
Walyunga National Park,Австралия,,1985-01-01T00:00:00Z,
Walyunga National Park,Австралия,,1985-01-01T00:00:00Z,
Апарадус-да-Серра (национальный парк),Бразилия,,1959-01-01T00:00:00Z,
Апарадус-да-Серра (национальный парк),Бразилия,,1959-01-01T00:00:00Z,
Serra do Itajaí National Park,Бразилия,,2004-06-04T00:00:00Z,
Serra do Itajaí National Park,Бразилия,,2004-06-04T00:00:00Z,
Arakwal National Park,Австралия,,2001-01-01T00:00:00Z,
Arakwal National Park,Австралия,,2001-01-01T00:00:00Z,
Arakwal National Park,Австралия,,2009-01-01T00:00:00Z,
Arakwal National Park,Австралия,,2009-01-01T00:00:00Z,
West Hill National Park,Австралия,,1971-01-01T00:00:00Z,
West Hill National Park,Австралия,,1971-01-01T00:00:00Z,
West Hill National Park,Австралия,,2003-01-01T00:00:00Z,
West Hill National Park,Австралия,,2003-01-01T00:00:00Z,
Морн-Труа-Питон,Доминика,,1975-01-01T00:00:00Z,всемирное наследие
Рисняк,Хорватия,,1953-01-01T00:00:00Z,
Рисняк,Хорватия,,1959-01-01T00:00:00Z,
Ubajara National Park,Бразилия,,1959-01-01T00:00:00Z,
Ubajara National Park,Бразилия,,1959-01-01T00:00:00Z,
Puyehue National Park,Чили,,1941-01-01T00:00:00Z,
Vesuvius National Park,Италия,,1991-06-05T00:00:00Z,
Vesuvius National Park,Италия,,1991-06-05T00:00:00Z,
Сент-Лоуренс-Айлендс,Канада,,1904-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1960-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1960-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1960-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1987-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1987-01-01T00:00:00Z,
Маунт-Ричмонд,Австралия,,1987-01-01T00:00:00Z,
Юрё,Швеция,,1991-02-07T00:00:00Z,
Юрё,Швеция,,1991-02-07T00:00:00Z,
Юрё,Швеция,,1991-02-07T00:00:00Z,
Юрё,Швеция,,1991-02-07T00:00:00Z,
Гай-Фокс-Ривер (национальный парк),Австралия,,1972-01-01T00:00:00Z,
Гай-Фокс-Ривер (национальный парк),Австралия,,1972-01-01T00:00:00Z,
Гай-Фокс-Ривер (национальный парк),Австралия,,2010-01-01T00:00:00Z,
Гай-Фокс-Ривер (национальный парк),Австралия,,2010-01-01T00:00:00Z,
Национальный парк Аревик,Армения,,2009-01-01T00:00:00Z,
Йеллоустонский национальный парк,США,,1872-03-01T00:00:00Z,всемирное наследие
