park,parkLabel,country,countryLabel,area,inception,highestPoint,highestPointLabel,elevation
http://www.wikidata.org/entity/Q138100,Mariala National Park,http://www.wikidata.org/entity/Q408,Австралия,270.43619140625,1992-01-01T00:00:00Z,,,345
http://www.wikidata.org/entity/Q138100,Mariala National Park,http://www.wikidata.org/entity/Q408,Австралия,273,1992-01-01T00:00:00Z,,,345
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,28.063544921875,1998-01-01T00:00:00Z,,,350
http://www.wikidata.org/entity/Q145308,Woolooma National Park,http://www.wikidata.org/entity/Q408,Австралия,4.96546844482422,2005-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q145308,Woolooma National Park,http://www.wikidata.org/entity/Q408,Австралия,4.96546844482422,2005-12-23T00:00:00Z,,,
http://www.wikidata.org/entity/Q137928,Мазеппа,http://www.wikidata.org/entity/Q408,Австралия,41.256220703125,1972-01-01T00:00:00Z,,,246
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,http://www.wikidata.org/entity/Q408,Австралия,279,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q85786545,Mount Cook,260
http://www.wikidata.org/entity/Q144029,Fazao Mafakassa National Park,http://www.wikidata.org/entity/Q945,Того,690,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q125085,Lomsdal–Visten National Park,http://www.wikidata.org/entity/Q20,Норвегия,1102,2009-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,17.7476794433594,1998-01-01T00:00:00Z,,,173
http://www.wikidata.org/entity/Q164798,Фолгефонна,http://www.wikidata.org/entity/Q20,Норвегия,548.03,2005-04-29T00:00:00Z,,,
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,289,1941-01-01T00:00:00Z,,,350
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,16.1865698242188,1990-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q165026,Girraween National Park,http://www.wikidata.org/entity/Q408,Австралия,117.020078125,1966-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,16.1865698242188,1977-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q137913,Lochern National Park,http://www.wikidata.org/entity/Q408,Австралия,247.8872265625,1994-01-01T00:00:00Z,,,162
http://www.wikidata.org/entity/Q138104,Littabella National Park,http://www.wikidata.org/entity/Q408,Австралия,83.827294921875,1980-01-01T00:00:00Z,,,27
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,17.7476794433594,1937-01-01T00:00:00Z,,,173
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,28.063544921875,1941-01-01T00:00:00Z,,,350
http://www.wikidata.org/entity/Q137928,Мазеппа,http://www.wikidata.org/entity/Q408,Австралия,413,1972-01-01T00:00:00Z,,,246
http://www.wikidata.org/entity/Q152660,Секвойя,http://www.wikidata.org/entity/Q30,США,1635,1890-09-25T00:00:00Z,http://www.wikidata.org/entity/Q235539,Уитни,3239
http://www.wikidata.org/entity/Q138104,Littabella National Park,http://www.wikidata.org/entity/Q408,Австралия,83.8,2009-01-01T00:00:00Z,,,27
http://www.wikidata.org/entity/Q145308,Woolooma National Park,http://www.wikidata.org/entity/Q408,Австралия,495,2005-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q123161,Woomargama National Park,http://www.wikidata.org/entity/Q408,Австралия,24185,2015-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q145308,Woolooma National Park,http://www.wikidata.org/entity/Q408,Австралия,495,2005-12-23T00:00:00Z,,,
http://www.wikidata.org/entity/Q141735,Вангануи,http://www.wikidata.org/entity/Q664,Новая Зеландия,742,1986-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,31,1990-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q129902,Капитол-Риф,http://www.wikidata.org/entity/Q30,США,978.95,1937-08-02T00:00:00Z,,,
http://www.wikidata.org/entity/Q137913,Lochern National Park,http://www.wikidata.org/entity/Q408,Австралия,24862,1994-01-01T00:00:00Z,,,162
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,http://www.wikidata.org/entity/Q408,Австралия,39.360751953125,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q85786545,Mount Cook,260
http://www.wikidata.org/entity/Q131875,Уда-Валаве (национальный парк),http://www.wikidata.org/entity/Q854,Шри-Ланка,30.821,1972-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,31,1977-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q138100,Mariala National Park,http://www.wikidata.org/entity/Q408,Австралия,270.43619140625,1994-01-01T00:00:00Z,,,345
http://www.wikidata.org/entity/Q137913,Lochern National Park,http://www.wikidata.org/entity/Q408,Австралия,247.8872265625,2017-01-01T00:00:00Z,,,162
http://www.wikidata.org/entity/Q138100,Mariala National Park,http://www.wikidata.org/entity/Q408,Австралия,273,1994-01-01T00:00:00Z,,,345
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,http://www.wikidata.org/entity/Q408,Австралия,162.313017578125,2003-01-01T00:00:00Z,,,689
http://www.wikidata.org/entity/Q152688,Торнгат-Маунтинс,http://www.wikidata.org/entity/Q16,Канада,9700,2005-12-01T00:00:00Z,http://www.wikidata.org/entity/Q3321804,Mount Caubvick,
http://www.wikidata.org/entity/Q163515,Айл-Ройал,http://www.wikidata.org/entity/Q30,США,2314,1940-04-03T00:00:00Z,http://www.wikidata.org/entity/Q6920421,Mount Desor,
http://www.wikidata.org/entity/Q130718,Deogyusan National Park,http://www.wikidata.org/entity/Q884,Республика Корея,231.65,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,http://www.wikidata.org/entity/Q408,Австралия,162.313017578125,1999-01-01T00:00:00Z,,,689
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,http://www.wikidata.org/entity/Q408,Австралия,279,2018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q85786545,Mount Cook,260
http://www.wikidata.org/entity/Q137928,Мазеппа,http://www.wikidata.org/entity/Q408,Австралия,41.256220703125,2001-01-01T00:00:00Z,,,246
http://www.wikidata.org/entity/Q137913,Lochern National Park,http://www.wikidata.org/entity/Q408,Австралия,24862,2017-01-01T00:00:00Z,,,162
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,http://www.wikidata.org/entity/Q408,Австралия,16315,2003-01-01T00:00:00Z,,,689
http://www.wikidata.org/entity/Q152820,Кайахога-Валли,http://www.wikidata.org/entity/Q30,США,133.3,2000-10-11T00:00:00Z,,,
http://www.wikidata.org/entity/Q138104,Littabella National Park,http://www.wikidata.org/entity/Q408,Австралия,83.8,1980-01-01T00:00:00Z,,,27
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,http://www.wikidata.org/entity/Q408,Австралия,16315,1999-01-01T00:00:00Z,,,689
http://www.wikidata.org/entity/Q140033,Гленвех,http://www.wikidata.org/entity/Q27,Ирландия,1605,1984-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1361608,Errigal,
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,http://www.wikidata.org/entity/Q218,Румыния,367.58,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q138104,Littabella National Park,http://www.wikidata.org/entity/Q408,Австралия,83.827294921875,2009-01-01T00:00:00Z,,,27
http://www.wikidata.org/entity/Q137928,Мазеппа,http://www.wikidata.org/entity/Q408,Австралия,413,2001-01-01T00:00:00Z,,,246
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,http://www.wikidata.org/entity/Q218,Румыния,367.58,2000-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q123161,Woomargama National Park,http://www.wikidata.org/entity/Q408,Австралия,242.1934765625,2015-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q165026,Girraween National Park,http://www.wikidata.org/entity/Q408,Австралия,118,1966-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,13.7190295410156,1990-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,289,1998-01-01T00:00:00Z,,,350
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,13.7190295410156,1977-01-01T00:00:00Z,,,155
http://www.wikidata.org/entity/Q125333,Mũi Cà Mau National Park,http://www.wikidata.org/entity/Q881,Вьетнам,418.62,2003-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q168421,Minerva Hills National Park,http://www.wikidata.org/entity/Q408,Австралия,279,1994-01-01T00:00:00Z,,,470
http://www.wikidata.org/entity/Q168421,Minerva Hills National Park,http://www.wikidata.org/entity/Q408,Австралия,27.8154809570313,1994-01-01T00:00:00Z,,,470
http://www.wikidata.org/entity/Q141549,Форе дю Дэй,http://www.wikidata.org/entity/Q977,Джибути,14,1939-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,http://www.wikidata.org/entity/Q408,Австралия,39.360751953125,2018-01-01T00:00:00Z,http://www.wikidata.org/entity/Q85786545,Mount Cook,260
http://www.wikidata.org/entity/Q426073,Ikara-Flinders Ranges National Park,http://www.wikidata.org/entity/Q408,Австралия,941.2584375,1945-01-01T00:00:00Z,,,463
http://www.wikidata.org/entity/Q457324,Кахузи-Биега,http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,600000,1970-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q426073,Ikara-Flinders Ranges National Park,http://www.wikidata.org/entity/Q408,Австралия,941.2584375,2017-01-01T00:00:00Z,,,463
http://www.wikidata.org/entity/Q453513,Amamoor National Park,http://www.wikidata.org/entity/Q408,Австралия,38,2006-01-01T00:00:00Z,,,265
http://www.wikidata.org/entity/Q476446,Экрен,http://www.wikidata.org/entity/Q142,Франция,91800,1973-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30480,Барр-дез-Экрен,
http://www.wikidata.org/entity/Q476446,Экрен,http://www.wikidata.org/entity/Q142,Франция,918,1973-01-01T00:00:00Z,http://www.wikidata.org/entity/Q30480,Барр-дез-Экрен,
http://www.wikidata.org/entity/Q441861,Whitsunday Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,170,1944-01-01T00:00:00Z,,,370
http://www.wikidata.org/entity/Q442279,Кейп-Эрид,http://www.wikidata.org/entity/Q408,Австралия,2778.3,1969-01-01T00:00:00Z,,,136
http://www.wikidata.org/entity/Q457882,Glass House Mountains National Park,http://www.wikidata.org/entity/Q408,Австралия,3037,2014-01-01T00:00:00Z,,,140
http://www.wikidata.org/entity/Q473256,Кинглейк (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,23210,1928-03-07T00:00:00Z,,,322
http://www.wikidata.org/entity/Q457882,Glass House Mountains National Park,http://www.wikidata.org/entity/Q408,Австралия,30.1844165039062,1994-01-01T00:00:00Z,,,140
http://www.wikidata.org/entity/Q477399,Michaelmas and Upolu Cays National Park,http://www.wikidata.org/entity/Q408,Австралия,3,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q472929,Хасселл (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,13,1971-01-01T00:00:00Z,,,170
http://www.wikidata.org/entity/Q442279,Кейп-Эрид,http://www.wikidata.org/entity/Q408,Австралия,2778.3,1972-01-01T00:00:00Z,,,136
http://www.wikidata.org/entity/Q458423,Амбосели (национальный парк),http://www.wikidata.org/entity/Q114,Кения,392,1974-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q477399,Michaelmas and Upolu Cays National Park,http://www.wikidata.org/entity/Q408,Австралия,3,2001-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q463141,Доньяна,http://www.wikidata.org/entity/Q29,Испания,53303.56529,1969-10-16T00:00:00Z,,,
http://www.wikidata.org/entity/Q464942,Гарахонай,http://www.wikidata.org/entity/Q29,Испания,3704.64343,1981-03-25T00:00:00Z,http://www.wikidata.org/entity/Q27102537,Alto de Garajonay,
http://www.wikidata.org/entity/Q453513,Amamoor National Park,http://www.wikidata.org/entity/Q408,Австралия,0.385828857421875,2006-01-01T00:00:00Z,,,265
http://www.wikidata.org/entity/Q446220,Таннел-Крик (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,91,1974-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q446220,Таннел-Крик (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,0.910443344116211,1974-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q422935,Nuga Nuga National Park,http://www.wikidata.org/entity/Q408,Австралия,286,1993-01-01T00:00:00Z,,,331
http://www.wikidata.org/entity/Q473256,Кинглейк (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,23210,1962-01-01T00:00:00Z,,,322
http://www.wikidata.org/entity/Q472929,Хасселл (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,13,1972-01-01T00:00:00Z,,,170
