park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord
http://www.wikidata.org/entity/Q211816,Pioneer Peaks National Park,Австралия,Австралия и Океания,18.8011291503906,2004,142,Point(148.923888888 -20.983888888)
http://www.wikidata.org/entity/Q211816,Pioneer Peaks National Park,Австралия,Австралия и Океания,189,2004,142,Point(148.923888888 -20.983888888)
http://www.wikidata.org/entity/Q211819,Reliance Creek National Park,Австралия,Австралия и Океания,0.286943168640137,1980,23,Point(149.099722222 -21.047777777)
http://www.wikidata.org/entity/Q211819,Reliance Creek National Park,Австралия,Австралия и Океания,0.286943168640137,2007,23,Point(149.099722222 -21.047777777)
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,7.57736633300781,1989,291,Point(150.039444444 -22.750277777)
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,7.57736633300781,1994,291,Point(150.039444444 -22.750277777)
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,757,1989,291,Point(150.039444444 -22.750277777)
http://www.wikidata.org/entity/Q212019,Mount O'Connell National Park,Австралия,Австралия и Океания,757,1994,291,Point(150.039444444 -22.750277777)
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,227,1929,329,Point(152.854166666 -26.32)
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,227,2002,329,Point(152.854166666 -26.32)
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,0.227454299926758,1929,329,Point(152.854166666 -26.32)
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,0.227454299926758,2002,329,Point(152.854166666 -26.32)
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,22.7256323242188,1994,458,Point(148.829444444 -21.071944444)
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,22.7256323242188,2008,458,Point(148.829444444 -21.071944444)
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,2173,1994,458,Point(148.829444444 -21.071944444)
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,2173,2008,458,Point(148.829444444 -21.071944444)
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4687.734375,1977,78,Point(142.679 -16.2553)
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4687.734375,1994,78,Point(142.679 -16.2553)
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4.7,1977,78,Point(142.679 -16.2553)
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4.7,1994,78,Point(142.679 -16.2553)
http://www.wikidata.org/entity/Q215992,Лос-Гласьярес,Аргентина,Южная Америка,7269.27,1939,919,Point(-73.0 -50.0)
http://www.wikidata.org/entity/Q215992,Лос-Гласьярес,Аргентина,Южная Америка,4459,1939,919,Point(-73.0 -50.0)
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917,324,Point(-150.3 63.2)
http://www.wikidata.org/entity/Q219562,Брайс-Каньон,США,Северная Америка,145,1928,,Point(-112.17 37.64)
http://www.wikidata.org/entity/Q220289,Гранд-Каньон,США,Северная Америка,4862.893,1919,,Point(-112.122 36.0553)
http://www.wikidata.org/entity/Q220289,Гранд-Каньон,США,Северная Америка,4932.7,1919,,Point(-112.122 36.0553)
http://www.wikidata.org/entity/Q222695,Гранд-Титон,США,Северная Америка,1254.51,1929,,Point(-110.700833333 43.833333333)
http://www.wikidata.org/entity/Q223589,Вирунга,Демократическая Республика Конго,Африка,8000,1925,,Point(29.5 -0.5)
http://www.wikidata.org/entity/Q223589,Вирунга,Демократическая Республика Конго,Африка,7900,1925,,Point(29.5 -0.5)
http://www.wikidata.org/entity/Q223969,Арки,США,Северная Америка,354.2,1971,,Point(-109.54 38.728055555)
http://www.wikidata.org/entity/Q235878,Кеоладео,Индия,Азия,28.73,1971,,Point(77.516667 27.166667)
http://www.wikidata.org/entity/Q235878,Кеоладео,Индия,Азия,28.73,1971,,Point(77.516667 27.166667)
http://www.wikidata.org/entity/Q237128,Меса-Верде,США,Северная Америка,210.43,1906,,Point(-108.494444 37.260375)
http://www.wikidata.org/entity/Q237128,Меса-Верде,США,Северная Америка,212,1906,,Point(-108.494444 37.260375)
http://www.wikidata.org/entity/Q239264,Dulcie Range National Park,Австралия,Австралия и Океания,190.9,1991,532,Point(135.608 -22.5778)
http://www.wikidata.org/entity/Q239264,Dulcie Range National Park,Австралия,Австралия и Океания,190.9,2012,532,Point(135.608 -22.5778)
http://www.wikidata.org/entity/Q239264,Dulcie Range National Park,Австралия,Австралия и Океания,187.79,1991,532,Point(135.608 -22.5778)
http://www.wikidata.org/entity/Q239264,Dulcie Range National Park,Австралия,Австралия и Океания,187.79,2012,532,Point(135.608 -22.5778)
http://www.wikidata.org/entity/Q241960,Cheile Bicazului-Hășmaș National Park,Румыния,Европа,65.75,1990,,Point(25.81894 46.81198)
http://www.wikidata.org/entity/Q241960,Cheile Bicazului-Hășmaș National Park,Румыния,Европа,69.1535781,1990,,Point(25.81894 46.81198)
http://www.wikidata.org/entity/Q242681,Мамонтова пещера,США,Северная Америка,211.91,1941,,Point(-86.101111111 37.186944444)
http://www.wikidata.org/entity/Q242681,Мамонтова пещера,США,Северная Америка,218.578444869590784,1941,,Point(-86.101111111 37.186944444)
http://www.wikidata.org/entity/Q248825,Peak Charles National Park,Австралия,Австралия и Океания,400,1979,305,Point(121.107 -32.9097)
http://www.wikidata.org/entity/Q248825,Peak Charles National Park,Австралия,Австралия и Океания,400,1993,305,Point(121.107 -32.9097)
http://www.wikidata.org/entity/Q248825,Peak Charles National Park,Австралия,Австралия и Океания,399.53109375,1979,305,Point(121.107 -32.9097)
http://www.wikidata.org/entity/Q248825,Peak Charles National Park,Австралия,Австралия и Океания,399.53109375,1993,305,Point(121.107 -32.9097)
http://www.wikidata.org/entity/Q253455,Dudhwa National Park,Индия,Азия,490,1958,,Point(80.699263 28.470872)
http://www.wikidata.org/entity/Q253517,Кейп-Бретон-Хайлендс,Канада,Северная Америка,948,1936,,Point(-60.6597 46.7167)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,358.76390625,1977,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,358.76390625,2018,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,35648,1977,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q254556,Conondale National Park,Австралия,Австралия и Океания,35648,2018,701,Point(152.645555555 -26.663055555)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,616,1973,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,616,2016,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,6.47635131835937,1973,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q255449,Moresby Range National Park,Австралия,Австралия и Океания,6.47635131835937,2016,143,Point(146.075833333 -17.5375)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3594.45,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3594.45,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.575,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.575,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.55,1921,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q256022,Wyperfeld National Park,Австралия,Австралия и Океания,3598.55,1997,77,Point(141.877 -35.3892)
http://www.wikidata.org/entity/Q257598,Грос-Морн,Канада,Северная Америка,1805,2005,,Point(-57.738055555 49.689444444)
