park,parkLabel,followers,year
http://www.wikidata.org/entity/Q261577,Глейшер-Бей,43375,2021
http://www.wikidata.org/entity/Q261577,Глейшер-Бей,37857,2020
http://www.wikidata.org/entity/Q273195,Карлсбадские пещеры,8043,2018
http://www.wikidata.org/entity/Q273195,Карлсбадские пещеры,10821,2021
http://www.wikidata.org/entity/Q273195,Карлсбадские пещеры,12509,2022
http://www.wikidata.org/entity/Q273195,Карлсбадские пещеры,13719,2023
http://www.wikidata.org/entity/Q274131,Эверглейдс,37917,2021
http://www.wikidata.org/entity/Q274131,Эверглейдс,65398,2023
http://www.wikidata.org/entity/Q274131,Эверглейдс,32186,2020
http://www.wikidata.org/entity/Q274131,Эверглейдс,54714,2022
http://www.wikidata.org/entity/Q305949,Петрифайд-Форест,34871,2018
http://www.wikidata.org/entity/Q305949,Петрифайд-Форест,79471,2023
http://www.wikidata.org/entity/Q305949,Петрифайд-Форест,46516,2021
http://www.wikidata.org/entity/Q305949,Петрифайд-Форест,59147,2022
http://www.wikidata.org/entity/Q306193,Острова Чаннел,5575,2020
http://www.wikidata.org/entity/Q306193,Острова Чаннел,6095,2021
http://www.wikidata.org/entity/Q306216,Бэдлендс,189855,2022
http://www.wikidata.org/entity/Q306216,Бэдлендс,200550,2020
http://www.wikidata.org/entity/Q306216,Бэдлендс,174316,2023
http://www.wikidata.org/entity/Q306216,Бэдлендс,195506,2021
http://www.wikidata.org/entity/Q3364499,Forêts National Park,1147,2020
http://www.wikidata.org/entity/Q3364499,Forêts National Park,1328,2021
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,844224,2021
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,879237,2022
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,970499,2023
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,837100,2020
http://www.wikidata.org/entity/Q370501,Гуадалупе-Маунтинс,5600,2021
http://www.wikidata.org/entity/Q370501,Гуадалупе-Маунтинс,4333,2018
http://www.wikidata.org/entity/Q372093,Олимпик,41812,2023
http://www.wikidata.org/entity/Q372093,Олимпик,37111,2022
