park,parkLabel,instanceType,instanceTypeLabel
http://www.wikidata.org/entity/Q488639,Taeanhaean National Park,http://www.wikidata.org/entity/Q179049,заповедник
http://www.wikidata.org/entity/Q488639,Taeanhaean National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q488639,Taeanhaean National Park,http://www.wikidata.org/entity/Q497829,национальный парк Южной Кореи
http://www.wikidata.org/entity/Q491005,Вёрджин-Айлендс,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q491972,Mount William National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q492359,Gulf of Chiriquí National Marine Park,http://www.wikidata.org/entity/Q63352727,marine national park
http://www.wikidata.org/entity/Q494689,Juwangsan National Park,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q499550,Smith Islands National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q499953,Southwood National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q501344,Национальный парк Комоэ,http://www.wikidata.org/entity/Q22698,парк
http://www.wikidata.org/entity/Q501344,Национальный парк Комоэ,http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО
http://www.wikidata.org/entity/Q503429,Джаспер,http://www.wikidata.org/entity/Q1896949,Национальные парки Канады
http://www.wikidata.org/entity/Q503429,Джаспер,http://www.wikidata.org/entity/Q3457162,парк тёмного неба
http://www.wikidata.org/entity/Q504315,Горы Сымен,http://www.wikidata.org/entity/Q22698,парк
http://www.wikidata.org/entity/Q519117,Savage River National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q524956,Dorrigo National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q526425,Idalia National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q527914,Brindabella National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q534596,Тель Беэр-Шева,http://www.wikidata.org/entity/Q755017,тепе
http://www.wikidata.org/entity/Q534596,Тель Беэр-Шева,http://www.wikidata.org/entity/Q839954,археологический памятник
http://www.wikidata.org/entity/Q536703,Архипелаг Маддалена,http://www.wikidata.org/entity/Q473972,природоохранная зона
http://www.wikidata.org/entity/Q536993,Грейтер-Бендиго,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q539925,Murray Valley National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q541149,Hat Head National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
http://www.wikidata.org/entity/Q541856,Каньонлендс,http://www.wikidata.org/entity/Q34918903,национальный парк США
http://www.wikidata.org/entity/Q541934,Chaelundi National Park,http://www.wikidata.org/entity/Q18618819,национальный парк Австралии
